nation,panoID,options,answer-type
Haiti,CAoSLEFGMVFpcE92Z0JiRUhzRUlOVEJ6azNvTDYtZWJsX2xfLWprcTFnNFhZR0hB,"['Jamaica', 'Dominican Republic', 'Cuba']",country
Albania,15gzD92TvjxmxDhJ_2oHpQ,"['Montenegro', 'Kosovo', 'North Macedonia']",country
Senegal,EvMOAksLRQDhhfrhEssdoQ,"['Mauritania', 'Guinea', 'Mali']",country
Austria,BFJmq4Pez9O3hvmrj9so0Q,"['Germany', 'Czech Republic', 'Slovakia']",country
Afghanistan,CAoSLEFGMVFpcE5CUnoyUEk0VVNJeHJvazFHdzNTb2cxdHlfdC1JU1o5czdDTWZ1,"['Pakistan', 'Iran', 'Tajikistan']",country
South Africa,CAoSLEFGMVFpcFBKNHYyekI0X3Y5TVhra3dBbEpxek4teUtiOURvbE9RVW1NSXNE,"['Botswana', 'Zimbabwe', 'Namibia']",country
Austria,Fg0TLwZHNxMivfOYfJeQXw,"['Czech Republic', 'Slovakia', 'Germany']",country
Serbia,fpfudtHz7ivynRWqxr8agQ,"['Romania', 'Hungary', 'Bulgaria']",country
France,DwHlWbnpseSSfF-re9QJdg,"['Belgium', 'Spain', 'Luxembourg']",country
Senegal,rAAGkBSnoFZrohSk5q0_Xg,"['Guinea', 'Mali', 'Mauritania']",country
Laos,-iuvTw0bkyUkNSSI_XtGgQ,"['Vietnam', 'Thailand', 'Cambodia']",country
Thailand,fjzAbJwKwuoiM3fnzeSvPA,"['Laos', 'Myanmar', 'Cambodia']",country
Myanmar,CAoSLEFGMVFpcE1qVzNhQ1BxSm9kcXBoX1pHd3dxYU1HVi1LaVI4VW5Lcm9YVzdN,"['India', 'China', 'Thailand']",country
Mexico,pg95NMiSBxs3hbuG9vYwhg,"['USA', 'Guatemala', 'Belize']",country
Canada,PI0BFKKKqlRKrDdD3dKkCA,"['USA', 'Greenland', 'Russia']",country
USA,KzD9S1PrGeVfOz-FLcfS0g,"['Russia', 'Mexico', 'Canada']",country
Uruguay,zye9Zyiwu9Ih-Rvn_tEzBQ,"['Argentina', 'Brazil', 'Paraguay']",country
Sri Lanka,YNnQ5Tj2XiNpSAC7fgF__g,"['India', 'Maldives', 'Bangladesh']",country
Colombia,M7CpG_zs0_48tmg1knHM7A,"['Venezuela', 'Brazil', 'Peru']",country
Palestine,eBNRWtMFZbugWn3856crWg,"['Israel', 'Jordan', 'Egypt']",country
Finland,WFLvIoChad6k9nzwjD8RLQ,"['Russia', 'Norway', 'Sweden']",country
Comoros,CAoSLEFGMVFpcE12SktBSVZ3d0JFUElncXh6OXN1ejlIZlFVbnBpdjA0R196RUV5,"['Madagascar', 'Mozambique', 'Tanzania']",country
Uruguay,WJ4OwqFrR8SEdufUTh-Ubw,"['Argentina', 'Brazil', 'Paraguay']",country
Myanmar,CAoSLEFGMVFpcE5wNUR4N2dnYTRuZVhkWFVjZmRxdTlaVHFrSmlUNXpvaTBKWE1I,"['Thailand', 'China', 'India']",country
Hungary,kRPL2pRT9cvaOjqaidXY1w,"['Romania', 'Slovakia', 'Austria']",country
Poland,J5jXFI8tdr-L0b-Ifn7kmw,"['Germany', 'Czech Republic', 'Slovakia']",country
Mexico,3q5RgZKCKRLQlmOiqTtSIQ,"['Belize', 'Guatemala', 'USA']",country
Estonia,0NoXMVL9uTE0j9fOzBtOXA,"['Finland', 'Latvia', 'Russia']",country
Indonesia,RtuPNeq6lfpUD6SswnrXzw,"['Australia', 'Papua New Guinea', 'Malaysia']",country
Iraq,CAoSLEFGMVFpcE54aHBCWE1iQlhneVQ5RHVWNjdyUFRRZUVveUFoNDhNdUwwUUo3,"['Iran', 'Turkey', 'Syria']",country
Brunei,CAoSLEFGMVFpcE1QcmRDMFFSVU5UbS1nTXNOTi1yV05tbzhQdFc1QkdlUnJySV9D,"['Indonesia', 'Philippines', 'Malaysia']",country
Sweden,NG32ZSCIylErFvWWUmTcoQ,"['Denmark', 'Finland', 'Norway']",country
Cambodia,Sd0y2Y8yf05q9p1g1gvUQA,"['Vietnam', 'Thailand', 'Laos']",country
Moldova,CAoSLEFGMVFpcFBNaVhQUFpOVF9aWi1lUjVoeG91R0YtMUFRU0ttb29oOENmNnJs,"['Ukraine', 'Belarus', 'Romania']",country
China,cfnn5csoTDP5uhCDI7EfmQ,"['Russia', 'Kazakhstan', 'India']",country
Uruguay,e8nt135p2jaWaEycT5AVGA,"['Argentina', 'Brazil', 'Paraguay']",country
Cambodia,RyVzpeCTZpQk5mQn5GMFBw,"['Vietnam', 'Thailand', 'Laos']",country
Canada,h5XPUD8mbsTHrIGNF9o-gg,"['Greenland', 'USA', 'Russia']",country
El Salvador,CAoSLEFGMVFpcE1nald3eEFTZDJGSFg5RGhpVHZpMG5VSjg4M1VGdU43S3JBZWFa,"['Honduras', 'Nicaragua', 'Guatemala']",country
Sri Lanka,tp0FI9gaPC1U9y8kZp2cLg,"['Bangladesh', 'Maldives', 'India']",country
Sri Lanka,D-f7fZuv0PyxWLA8WY8m_w,"['India', 'Maldives', 'Bangladesh']",country
Sweden,qjPkHWnjEgDrsO41yUti6g,"['Finland', 'Denmark', 'Norway']",country
Guatemala,0YIbP-y8oBX3Y9zU0nSMBA,"['Belize', 'El Salvador', 'Mexico']",country
Belgium,S-Qb1ijFjHHK6tVBKVLqsA,"['Germany', 'Netherlands', 'France']",country
Switzerland,CAoSLEFGMVFpcFBGVFlVTC1GQWJGNzdVYTduNkJZZVRBSXZKTXJNMnVKVWtBR2s4,"['Germany', 'Austria', 'France']",country
Lithuania,CAoSLEFGMVFpcFBoaEZXWjlycG9sTVBDSjF2bllYLXVmVFY4YTZsbFpCVkY1eFQt,"['Latvia', 'Poland', 'Belarus']",country
Kenya,fLlcGJVrHwVasaYz47S8qw,"['Tanzania', 'Somalia', 'Ethiopia']",country
Austria,V-g4wB117kLY24qkt4mgKg,"['Germany', 'Czech Republic', 'Slovakia']",country
Lesotho,5mC4AW8AHU794cFSdyVsYw,"['Botswana', 'South Africa', 'Eswatini']",country
Senegal,Za6dRn9BSzIJstMeNlXBdg,"['Mauritania', 'Mali', 'Guinea']",country
Bhutan,LX1larf4wgmuDLj5alaQrw,"['China', 'Nepal', 'India']",country
Senegal,Uofpm7Dcuak2qdbYjTjejw,"['Mauritania', 'Mali', 'Guinea']",country
Sao Tome and Principe,CAoSLEFGMVFpcE5yUnQxUDgtOHluV1gyQWVrSEJZMDVrUmljbFV6eXVBMjVNY0Vj,"['Equatorial Guinea', 'Cameroon', 'Gabon']",country
Argentina,6u5crmWD_KXRdoheREmLhA,"['Bolivia', 'Chile', 'Paraguay']",country
Austria,lYlIQWrO-ZDte9GlsQ_rCA,"['Slovakia', 'Germany', 'Czech Republic']",country
Guatemala,6guODWN1SGBrAkYrqLSU8w,"['El Salvador', 'Mexico', 'Belize']",country
Norway,iesng0I_6t2ueO5-2fz5BA,"['Russia', 'Sweden', 'Finland']",country
Portugal,d3D-s1kHwYlIYvlHtCtBGg,"['Morocco', 'France', 'Spain']",country
North Macedonia,pHmI64K01EHYVxjfcW8lTw,"['Bulgaria', 'Greece', 'Albania']",country
Lithuania,QxautzGGGHmp4BV6PglcPg,"['Latvia', 'Poland', 'Belarus']",country
Switzerland,o3PT0eA2EB3xWneCxSzH4w,"['Austria', 'Germany', 'France']",country
Chile,VHfLMS09qcS43Ogb-kiMxA,"['Peru', 'Argentina', 'Bolivia']",country
Chile,FYD0ZJ0DbE96oG-CDVhUrA,"['Bolivia', 'Peru', 'Argentina']",country
Slovakia,rye1W_q2mPqynM5IldmBng,"['Hungary', 'Czech Republic', 'Austria']",country
Sri Lanka,kys1iHaBTqd8TlhgeYwFRQ,"['India', 'Maldives', 'Bangladesh']",country
Serbia,EVhAfnufLmPgG8Sv5ie-RQ,"['Hungary', 'Bulgaria', 'Romania']",country
Uruguay,AyvtEmC-gealzWrax65R0Q,"['Paraguay', 'Argentina', 'Brazil']",country
Greece,2WlwT_8aMMLZsyaW6VgoDQ,"['Albania', 'Bulgaria', 'North Macedonia']",country
Austria,DeUhkqJpKovjpq45fMDJBA,"['Slovakia', 'Germany', 'Czech Republic']",country
Romania,HMHggCy7CVM278ZQcazjSg,"['Hungary', 'Bulgaria', 'Serbia']",country
Finland,NzkQkRk3UjQgBzdttAOO1w,"['Sweden', 'Norway', 'Russia']",country
Senegal,IdAXFTO7ooA8YEqKsDbQ2A,"['Mauritania', 'Mali', 'Guinea']",country
Bangladesh,Yl0c-ghmXDCXlf_s4bjmdg,"['Myanmar', 'India', 'Nepal']",country
Austria,FibykmqrshSGvCOvY_518g,"['Germany', 'Czech Republic', 'Slovakia']",country
China,yQuXfYXwfiFssFhFUw26Nw,"['Kazakhstan', 'India', 'Russia']",country
Poland,sMnQai27KE4CXLEwWddEVg,"['Germany', 'Czech Republic', 'Slovakia']",country
Ukraine,CAoSLEFGMVFpcE4zTnJQWHRSU1p2MTdQZWxDSXhGY2wzOTJXZm9RbHk5ZDBpbWhC,"['Russia', 'Poland', 'Belarus']",country
South Africa,mIEICy5O4kwgHCrQPcJP-g,"['Namibia', 'Botswana', 'Zimbabwe']",country
Albania,LC8JpAl-tu3RyOliWLts4Q,"['Montenegro', 'Kosovo', 'North Macedonia']",country
Kyrgyzstan,BpW8RnXw1sStzh5Ui_a7uQ,"['Kazakhstan', 'China', 'Tajikistan']",country
Poland,jtb9pcFak01L_PWyBEA5UQ,"['Germany', 'Czech Republic', 'Slovakia']",country
Estonia,PioRoIvyhdYLPndkMVKmVg,"['Latvia', 'Russia', 'Finland']",country
France,LQOmbjktUcJQ-mn00hOKkw,"['Spain', 'Belgium', 'Luxembourg']",country
Croatia,Cf-ZEFbqYNHn2_Wvzd-2kQ,"['Slovenia', 'Hungary', 'Bosnia and Herzegovina']",country
Canada,CAoSLEFGMVFpcFBmVkdwUXp0WHpKNFNoZFFvYmRycEg0aTVHdmQxYmtrNDB5eC03,"['Greenland', 'Russia', 'USA']",country
Serbia,tuqkF9-nmqhPH5iWmLn06w,"['Hungary', 'Romania', 'Bulgaria']",country
France,WG0dMSyvVqCoxlZxjM8Ilw,"['Belgium', 'Spain', 'Luxembourg']",country
Lithuania,WgX6iaT53UzuX_R4jVczNA,"['Latvia', 'Poland', 'Belarus']",country
Czech Republic,Wu48sQhJOlVHcXakLhJyBQ,"['Germany', 'Austria', 'Slovakia']",country
Guinea,CAoSLEFGMVFpcE9hT2NMUTk1cG1TRWN6a3hOcmxLNUQwelBxWUI0WTFfeEN6R1M3,"['Liberia', 'Sierra Leone', 'Senegal']",country
Cambodia,_hRkFxSVGez0JAbGit0BGw,"['Vietnam', 'Thailand', 'Laos']",country
Sweden,Nc2-tOdrL2HSBUEa59nQJA,"['Finland', 'Norway', 'Denmark']",country
Hungary,bVW02p3BgnF-_hekqueWPg,"['Austria', 'Slovakia', 'Romania']",country
Albania,EXuQy0GA9gABpqHJFw4b7g,"['Montenegro', 'Kosovo', 'North Macedonia']",country
Colombia,wSK8nJ7SLtbs9uo9K2u1HA,"['Venezuela', 'Peru', 'Brazil']",country
Sri Lanka,YyylrjdNZSj-1dfOeSHnOQ,"['India', 'Maldives', 'Bangladesh']",country
Cambodia,CcMxLo6LmOUe9mDUcNYU9A,"['Vietnam', 'Thailand', 'Laos']",country
Moldova,CAoSLEFGMVFpcE8wWUJjVzcxVS1zaXUySm1pR2FuZlVPUUFrU1dOMUt2OWFJZ3N3,"['Ukraine', 'Belarus', 'Romania']",country
Colombia,Avfp4rei0c19tTOyGlTgcQ,"['Venezuela', 'Peru', 'Brazil']",country
Russia,DzCp7bG6C995LbiiECa7oQ,"['China', 'Mongolia', 'Kazakhstan']",country
Mexico,CLmuExvJiDPS9AFpzlq_Zw,"['USA', 'Guatemala', 'Belize']",country
Bulgaria,-D4L700DBkMaqWAtmyO9sA,"['Serbia', 'Romania', 'North Macedonia']",country
Democratic Republic of Congo,CAoSLEFGMVFpcE5sdUx0NUhaMXZIb19SLU1KYjB1UUdLNzRXN0hMSmpUc1BMbWpx,"['Tanzania', 'Zambia', 'Angola']",country
Belgium,EvUdWeoGJDBNWITdBNPRkA,"['Netherlands', 'Germany', 'France']",country
Serbia,_BhkBlR3YvQZSOkT8_RRvA,"['Bulgaria', 'Romania', 'Hungary']",country
Thailand,iykojyanCXKyDkCUtqd6sQ,"['Myanmar', 'Cambodia', 'Laos']",country
South Korea,KwQzz2ilHxZJhj_8JWD12A,"['North Korea', 'China', 'Japan']",country
Slovakia,rVUaVNYOikmKDjGM2DtzWg,"['Czech Republic', 'Austria', 'Hungary']",country
Senegal,4b6oJ-4L9dBxLMwsejmlmg,"['Mauritania', 'Mali', 'Guinea']",country
Serbia,TP07_n4rebC-k-aXOKgIag,"['Bulgaria', 'Romania', 'Hungary']",country
Ghana,tsVXodL7A2VbO-kM5qDD8A,"['Burkina Faso', ""Côte d'Ivoire"", 'Togo']",country
Senegal,c3v86pjwhFtvFF4BlevfHA,"['Guinea', 'Mauritania', 'Mali']",country
Sudan,CAoSLEFGMVFpcE51TGxOSjl4VGFGS1gwZnJ5STdYYXc2MGVTSmVjeFhEVXR1Ylhw,"['Ethiopia', 'Egypt', 'Chad']",country
Guatemala,y9KYtkeFag8cd7Vjd_750w,"['El Salvador', 'Mexico', 'Belize']",country
Canada,MBJ_pcosNX1pqEfNs7zo1g,"['USA', 'Russia', 'Greenland']",country
Ecuador,fe-vKMTVN8QqLyoh5lFB_w,"['Colombia', 'Peru', 'Brazil']",country
Hungary,p6vA7LVxaz2CFYGlNXiEiQ,"['Austria', 'Slovakia', 'Romania']",country
Colombia,LfxWFel7CQm1iQ7OgF1WNA,"['Brazil', 'Peru', 'Venezuela']",country
Senegal,Q-MOj7SJ3r1m57FLkFSMeA,"['Mali', 'Guinea', 'Mauritania']",country
Senegal,5gZ07rurEBO97NCO-lFMZg,"['Mali', 'Guinea', 'Mauritania']",country
Poland,9KUmV2BLF2oRhr05jyM-Ng,"['Germany', 'Czech Republic', 'Slovakia']",country
Canada,tsTtMfoSyxjg03OaFzSavQ,"['Russia', 'Greenland', 'USA']",country
China,AmJwz4QTXnSU_UnKjk7cyw,"['Russia', 'Kazakhstan', 'India']",country
Uruguay,kUkn7XiG4Kp0c4wImkImsA,"['Brazil', 'Paraguay', 'Argentina']",country
Sweden,SgaIS2JpA2NTP42oartVvw,"['Norway', 'Finland', 'Denmark']",country
Lithuania,RCRghyn0wipAsNtyuVp-ng,"['Poland', 'Latvia', 'Belarus']",country
Austria,gQ5IJkbFkWI4YO3vBYRSSw,"['Germany', 'Czech Republic', 'Slovakia']",country
Moldova,CAoSLEFGMVFpcE45dEI5bUtYREVkX3YxcktfLXowRnNObFctSUZKempSTFQ4NmY0,"['Romania', 'Belarus', 'Ukraine']",country
France,yKJlQ5BPkGv0pahUin1B4g,"['Luxembourg', 'Belgium', 'Spain']",country
Brunei,CAoSLEFGMVFpcFB0STVST2kyLTQ1cHBYMUswY0pUMXJkclJXa1FCS24yaTRQYkNq,"['Philippines', 'Malaysia', 'Indonesia']",country
Cameroon,CAoSLEFGMVFpcE9fQ1ZzajVkOEdiZUtMaF9fVXBJckZPVHBwYjhtU3RhZzdqQVo3,"['Nigeria', 'Central African Republic', 'Chad']",country
Algeria,CAoSLEFGMVFpcE1RSC1vYXpsaVpoS1Q1M2pnVDRGRXhZQlJfYk9LZ0VsN2MzR0JJ,"['Morocco', 'Libya', 'Tunisia']",country
Ghana,VzouL8UyQg6AEVhyKL_Tog,"[""Côte d'Ivoire"", 'Togo', 'Burkina Faso']",country
Slovakia,NAQZbD38Z428LjIOwTtqiQ,"['Czech Republic', 'Austria', 'Hungary']",country
Slovakia,Evegl3UiyBw7dhKSu9CcGg,"['Austria', 'Hungary', 'Czech Republic']",country
Myanmar,CAoSLEFGMVFpcFBXUlJnLUhIOWQzeXYxNENubTRHZFZjZk5la2Y0TUdJM1FpUnZO,"['China', 'India', 'Thailand']",country
Russia,0m64-RkXrIXwh-DHeTZFGw,"['China', 'Mongolia', 'Kazakhstan']",country
Colombia,tIlo9vBgnxNXbsc82Elngg,"['Brazil', 'Venezuela', 'Peru']",country
Kenya,PlQ4JKk2O8JoLusDqEbDqA,"['Ethiopia', 'Tanzania', 'Somalia']",country
Bhutan,BIPDQfbabYkpZUqYLBkHeQ,"['India', 'China', 'Nepal']",country
Lithuania,gBjR5mdzKN7cGMHRlUom5Q,"['Latvia', 'Poland', 'Belarus']",country
Hungary,JAaq_1ydvaV_onw1yleEFQ,"['Austria', 'Romania', 'Slovakia']",country
Indonesia,BjHD8m4qJ4ZUlddULnoh2A,"['Malaysia', 'Papua New Guinea', 'Australia']",country
Sweden,vzYPF3D6JfDU6RVlvnjz3w,"['Norway', 'Denmark', 'Finland']",country
Argentina,WOYqZRl9og98425VFETIkA,"['Chile', 'Bolivia', 'Paraguay']",country
Saint Vincent and the Grenadines,CAoSLEFGMVFpcFBzWDI0VnBmOTFMZHJ6WFA1STVoZk04el9SVlRQVWRJOFNQVzJ6,"['Saint Lucia', 'Barbados', 'Grenada']",country
Luxembourg,dYdsLR3kEwod4pXhqClgjQ,"['France', 'Germany', 'Belgium']",country
Estonia,gdPzZV9xEgSNMnV02xkG2w,"['Finland', 'Latvia', 'Russia']",country
Albania,CAoSLEFGMVFpcE85SDJubjhwdlA1UjR3VkcwcmV1S1hvdnR5QlVWOFhCbkNKeDgz,"['Montenegro', 'Kosovo', 'North Macedonia']",country
Senegal,NVwT6_Spo4wj4P1yQ1t83Q,"['Guinea', 'Mali', 'Mauritania']",country
Uruguay,ob31NaPnshqilX2uWD9aJQ,"['Argentina', 'Brazil', 'Paraguay']",country
Italy,mxn9qIysWjkdJ5EeN8cbxA,"['France', 'Switzerland', 'Austria']",country
Cyprus,CAoSLEFGMVFpcE1HTzY1R2FhX3FwNS0ycm5VUFZDanhuODhmOEVaZFgzdUs5OW9q,"['Turkey', 'Greece', 'Lebanon']",country
Sweden,aA_H5C2tESYMt17hLyOOVQ,"['Norway', 'Finland', 'Denmark']",country
France,4vZRYRT66HxrEXrIJ5UyGw,"['Spain', 'Belgium', 'Luxembourg']",country
North Macedonia,CAoSLEFGMVFpcE96X3B0Wnd6dHQ3Y2IwUEEzZ29QaHlzeWhodVNPTnVwTVh3Y09r,"['Albania', 'Greece', 'Bulgaria']",country
UAE,HSQgGAQ5a0UGFusox49bvg,"['Saudi Arabia', 'Oman', 'Qatar']",country
Lithuania,gtRLoxnkZrYJDW5yI07oAA,"['Belarus', 'Poland', 'Latvia']",country
Hungary,PVoCZUCYkidsYaMJ2yBBFQ,"['Romania', 'Austria', 'Slovakia']",country
Belgium,s5Q-i36xo1Jp0xj8L4xx6A,"['Netherlands', 'Germany', 'France']",country
Canada,7xl_0guY8fsMSXPGY7h7LQ,"['Russia', 'USA', 'Greenland']",country
Botswana,YPwNoNUIYoOuj6Smb0sYFA,"['Namibia', 'Zimbabwe', 'South Africa']",country
Ireland,knjspXSgRvUsTrb0uOshEA,"['United Kingdom', 'France', 'Iceland']",country
Luxembourg,wTV_BYwOAyT8i6T0kL4SAA,"['Belgium', 'Germany', 'France']",country
Ecuador,Y2q_gafqwgCOHiFD0nmoQA,"['Colombia', 'Peru', 'Brazil']",country
Ireland,VbZMY3AwfRJah-TwoSBtgg,"['United Kingdom', 'Iceland', 'France']",country
Palestine,KgjBPx7GZsrGGSk_mRAMIA,"['Israel', 'Jordan', 'Egypt']",country
Kenya,im-m9RUp8Ug4gwl37UqvTw,"['Ethiopia', 'Somalia', 'Tanzania']",country
Chile,XhN4Pgv9WD6jNMtVKXtyuQ,"['Bolivia', 'Argentina', 'Peru']",country
Russia,3w9g-crju23vOfjVEXHScQ,"['China', 'Kazakhstan', 'Mongolia']",country
Austria,Il3gcv4hLrRcxMyw_U5fcQ,"['Germany', 'Czech Republic', 'Slovakia']",country
North Macedonia,ccNNEnKcXuC5Wx7vxGeSWw,"['Greece', 'Albania', 'Bulgaria']",country
Philippines,gFFXG1z2mOfOMoRILDYtDA,"['Malaysia', 'Indonesia', 'Palau']",country
Japan,SFzg1cqRbNmXVMsa3PrvBQ,"['Russia', 'China', 'South Korea']",country
Nigeria,8Vwi5aNP9GjN2iE_Q7VTkA,"['Chad', 'Niger', 'Cameroon']",country
Argentina,Um2qfo81gwmWkgAbZ2wceA,"['Paraguay', 'Bolivia', 'Chile']",country
Iceland,1bAnhWgyXQBN5NuEYWW0Zg,"['Faroe Islands', 'Greenland', 'Norway']",country
Swaziland,I61BbJ1NMS3ih_6x67vvpQ,"['Mozambique', 'South Africa']",country
Croatia,qvkGgicnfgKaRNmZ13C3xQ,"['Slovenia', 'Bosnia and Herzegovina', 'Hungary']",country
Kyrgyzstan,FE4IqNF8jJl8ukRY9ttP1w,"['China', 'Tajikistan', 'Kazakhstan']",country
Sweden,Ljb0rA12hbcKv8mBCaVZ-Q,"['Norway', 'Finland', 'Denmark']",country
Greece,kTyD_SuHHWhI0XAwB25ysQ,"['Bulgaria', 'North Macedonia', 'Albania']",country
Sweden,jd6Gfva-b2WH9nq-7svaaQ,"['Norway', 'Finland', 'Denmark']",country
Swaziland,Dumeq1urrw1K-JSZgcCbUA,"['South Africa', 'Vanuatu', 'Latvia']",country
Martinique,LCsBY_OufiogprVOtcj2gQ,"['Saint Lucia', 'Dominica', 'Saint Vincent and the Grenadines']",country
Chile,9YjURCxnvBV1NE-7IfOngQ,"['Peru', 'Argentina', 'Bolivia']",country
Chile,YSdZ1n0r_usY5oeHb3MQug,"['Argentina', 'Peru', 'Bolivia']",country
Canada,ix9e1zl6NEWOjfJVsDMC1Q,"['Russia', 'Greenland', 'USA']",country
Indonesia,anqA6gq26Lh0I8xlnz4M5w,"['Malaysia', 'Papua New Guinea', 'Australia']",country
North Macedonia,GWbSvT9lbP1sO7NcUWMCKA,"['Greece', 'Albania', 'Bulgaria']",country
Sri Lanka,Ex4oz5yilyYimRdRMn0DtA,"['India', 'Maldives', 'Bangladesh']",country
Greece,oEo4dtasOMlgw6IgWxVDUw,"['Albania', 'North Macedonia', 'Bulgaria']",country
Senegal,Pjh9Jf0vv5PEFsI9ttAdoQ,"['Mauritania', 'Mali', 'Guinea']",country
Thailand,Et2UrmJmLxKPrVbp09tSqQ,"['Myanmar', 'Laos', 'Cambodia']",country
Sri Lanka,5n99xcHHC3uVBoQPJoQ2Dg,"['Maldives', 'India', 'Bangladesh']",country
Austria,VKJ7wkfh0gvpn98xC2VekA,"['Germany', 'Czech Republic', 'Slovakia']",country
Belgium,JB8vcjaar0I4NKogMCOQZQ,"['France', 'Germany', 'Netherlands']",country
Bulgaria,I70YBy-Dn0-rFpJVA-qCeg,"['Serbia', 'Romania', 'North Macedonia']",country
Russia,ZR-9agfP5KdO6Pp1lzVrTQ,"['China', 'Mongolia', 'Kazakhstan']",country
Bhutan,V7R9UvUFDBJU-XNn6QRIIw,"['India', 'China', 'Nepal']",country
Indonesia,erjLFXNwLOvzZsr_VT1vCw,"['Malaysia', 'Papua New Guinea', 'Australia']",country
Botswana,4UBknxPyTtFBeqRO9FgYJA,"['South Africa', 'Namibia', 'Zimbabwe']",country
Kenya,TOL7Ht1UpbUMlxZkFvU1zA,"['Ethiopia', 'Somalia', 'Tanzania']",country
Poland,AiJ4NKD1nXUTmdUp3ZqRtA,"['Slovakia', 'Czech Republic', 'Germany']",country
Greece,OP52JNu4X4jXA236JSOabg,"['Albania', 'North Macedonia', 'Bulgaria']",country
Austria,TF0d1RCpi2W-dS5sE5zlAg,"['Germany', 'Czech Republic', 'Slovakia']",country
Indonesia,QsN6cRu_dX8Cc8lalaAzmg,"['Malaysia', 'Papua New Guinea', 'Australia']",country
Albania,LJSr8t_G2lgNyT4GUIj0YQ,"['North Macedonia', 'Kosovo', 'Montenegro']",country
Chile,mGy2Lex47M9V3lqIp7bfEw,"['Argentina', 'Bolivia', 'Peru']",country
Algeria,CAoSLEFGMVFpcE96d1M5aHJqd1R1OU9ZQkg3NXpWeHVBamZOV2NzbVJHcnotQVA4,"['Morocco', 'Tunisia', 'Libya']",country
Canada,JZ1ca1lxreb_Rwn7tdjs5A,"['USA', 'Greenland', 'Russia']",country
Bangladesh,uRIQRBF_nLI2JZRyYSxPHw,"['India', 'Myanmar', 'Nepal']",country
Senegal,CbPnerLrVayMuCEX_l5YLw,"['Mauritania', 'Mali', 'Guinea']",country
Indonesia,BlNGUtG8jgTM5a2mmLhlbQ,"['Australia', 'Malaysia', 'Papua New Guinea']",country
Mexico,UsRhAjtImDtWGemn9t7zxw,"['Belize', 'Guatemala', 'USA']",country
Argentina,cUmhkmkzxVY3OMibQBtVjw,"['Chile', 'Paraguay', 'Bolivia']",country
Austria,xMVI095VXxqj7agl0yIFNA,"['Germany', 'Slovakia', 'Czech Republic']",country
Russia,F9NtzfDXWW_l2rywWcRnZQ,"['Mongolia', 'China', 'Kazakhstan']",country
Albania,6i3i5rNVrDaRX53zPn50Zg,"['North Macedonia', 'Montenegro', 'Kosovo']",country
Kyrgyzstan,tR7mrmcL-ZPmCLXXAUoCyA,"['Kazakhstan', 'China', 'Tajikistan']",country
Nicaragua,CAoSLEFGMVFpcE93LTJoeGpPN0tfVGdEczNuQ2lPTjhIb1VGX3g1elhNQ3lQRW1D,"['Costa Rica', 'Honduras', 'El Salvador']",country
Mongolia,OaAYXSpswo4DAPh5SkmICQ,"['Kazakhstan', 'Russia', 'China']",country
Zambia,CAoSLEFGMVFpcE10V3pVOHYzSXkwVEZGd0twV2lSVnNGTHNkcGFKaXREMzZMN24y,"['Democratic Republic of Congo', 'Tanzania', 'Angola']",country
Colombia,iRiSheJlqea1R9w5irrxiQ,"['Venezuela', 'Brazil', 'Peru']",country
Belgium,qRZZfM-BvTd5xQ3USnof_w,"['France', 'Germany', 'Netherlands']",country
Panama,CAoSLEFGMVFpcE5fTnhSYXp5cGE5WDdJeXFMTzcyaDBLbGdZS0lrSHNJVGNtZW1Q,"['Nicaragua', 'Colombia', 'Costa Rica']",country
Senegal,ltwGQGGXvfxyvsBU46mzsQ,"['Mali', 'Guinea', 'Mauritania']",country
Israel,yX3j58rVAvFcrcjcIZ0fKA,"['Palestine', 'Jordan', 'Lebanon']",country
Senegal,O9MK_E6EigoRI_Nr6IJ1zg,"['Mauritania', 'Guinea', 'Mali']",country
Ukraine,fnDwGl0ZRp7moGA8FyuBVA,"['Russia', 'Belarus', 'Poland']",country
Bolivia,fMLnuQU7lMaKLZ9Jpn-YEg,"['Brazil', 'Peru', 'Chile']",country
Canada,UuGe-UJ5x3K2nwl_NoOXvA,"['Greenland', 'USA', 'Russia']",country
Palestine,1Ud90oDRysWCCHP1fV9SBw,"['Israel', 'Jordan', 'Egypt']",country
Canada,yplfowWqinsV0n4L2xdhtQ,"['Greenland', 'Russia', 'USA']",country
South Africa,uL1DlF3FLhG2L1zNR0R9eQ,"['Namibia', 'Botswana', 'Zimbabwe']",country
Qatar,n-1zYu9fTLtMZWKGUcAw0g,"['Saudi Arabia', 'UAE', 'Bahrain']",country
Argentina,QoWtx93mz7dUmGqtpwVVqg,"['Paraguay', 'Bolivia', 'Chile']",country
Senegal,BzAE6uVWMlEKqWF7Jju9Qg,"['Guinea', 'Mauritania', 'Mali']",country
Lesotho,1rdQwvT9DqXiV8Izkb8P7Q,"['Botswana', 'South Africa', 'Eswatini']",country
Sweden,PQXIKhLVplzMV37YBBlbvw,"['Norway', 'Finland', 'Denmark']",country
China,ugImIYr1vOsekpS3c5U0HA,"['Russia', 'Kazakhstan', 'India']",country
Bulgaria,4jurfN8QYCL-j12uAC5lmA,"['Serbia', 'North Macedonia', 'Romania']",country
Canada,gG4oo8p-ZrP_7ioKqDlU9g,"['Greenland', 'USA', 'Russia']",country
Chile,GPLeGUtcVFXFEPc-Fmxfng,"['Peru', 'Bolivia', 'Argentina']",country
