BVID,key_clues,answer,answer_type,hint
BV1SG41197W5,"[""A utility pole is marked with a distinctive pattern of yellow and black diagonal stripes."", ""The front license plate on the van is a short, rectangular shape.""]","Taiwan, China.",province or equivalent,"[""The image is taken in one of the following place: A: Vietnam, B: Malaysia, C: Japan, D: Taiwan, China.""]"
BV1SH4y1c7xs,"[""The distinctive circular pedestrian footbridge over a roundabout is identified as the most unique and searchable landmark in the photo.""]","24.45, 117.81",latitude & longitude,"[""The image is taken in China."", ""The image is not taken in Fujian Province, China""]"
BV1Sz4y1j7mQ,"[""The double yellow centerline on the road is characteristic of North America, making European options like Germany and Poland highly improbable."", ""The flat topography is inconsistent with the generally mountainous landscape of Chile but is very common in many regions of the USA."", ""An analysis of the sun's position, based on shadows, confirms the location is in the Northern Hemisphere, which definitively rules out Chile."", ""The presence of a classic American-style mailbox, wooden utility poles, and a large, single-family home are all quintessential features of the rural United States.""]", United States,country,"[""The image is taken in one fo the following countries: A. Germany B. Poland C. Chile D. United States""]"
BV1Ts7tzQEH6,"[""The mountains in the background are identified as a fault-block formation"", ""The vertical growth characteristics of trees."", ""The presence of multiple parallel railway lines indicates the photo was taken in a major transportation corridor."", ""A distinctive concrete arch bridge."", ""A large, sloped, grass-covered embankment is identified as a reservoir dam.""]","36.42, 116.92",latitude & longitude,"[""This image is taken in China, but not in Shanghai.""]"
BV1Ui421e7MQ,"[""The photo is analyzed to identify a riverside cityscape featuring a small bridge with two arches."", ""Distinctive features are identified on the opposite riverbank: tall, patterned cylindrical pillars, a large white statue, and a sloped glass structure serving as an entrance to an underground facility.""]","Dehua County, Quanzhou City, Fujian Province",county,"[""The image is taken in China"", ""The white statue in the image is of Guanyin Bodhisattva""]"
BV1Uk4y1n7Vz_1,"[""The train car number \""ZE 264903\"" is identified"", ""Characters on a building looks similar to \""南站\"" (South Station)""]","27.45, 106.85",latitude & longitude,"[""The image is taken in China"", ""The photos were taken on May 20, 2023""]"
BV1Uk4y1n7Vz_2,"[""Characters on a sign are identified as \""北站\"" (North Station)""]","25.34, 110.31",latitude & longitude,"[""The image is taken in China"", ""The photos were taken on May 20, 2023"", ""This is a high-speed railway, with the train CRH380A-2649, G4113]"
BV1Ut421a7Ai,"[""Long shadows cast by the sun, which is low in the sky, are used to determine cardinal directions"", ""A high vantage point and a visible railing at the bottom of the frame."", ""Numerous parked electric scooters and buildings with a distinct architectural style."", ""A yellow \""Y\"" shaped logo on a red pillar."", ""An elevated highway with green road signs in the backgroun.""]","23.14, 113.41",latitude & longitude,"[""The image is taken in Guangzhou Province, China""]"
BV1Uu4y177W7,"[""A text prompt states the location is a \""Tier 1 city\"" (一线城市), placing it within a large group of Chinese cities."", ""The station icon features a distinct purple circular logo containing a white, stylized, ribbon-like shape, which is the primary clue for identifying the city's metro system."", ""The map shows a station located at a crossroads on a single, diagonally-running subway line, and the layout of its three exits forms a unique person-like shape."", ""A nearby bus stop icon contains the partially visible characters \""路北\"" (Lù Běi), meaning \""North Road\"" or \""North of... Road\"".""]","32.08, 120.82",latitude & longitude,"[""This is a subway station in one of China's first-tier cities, including new first-tier cities: Chengdu, Hangzhou, Chongqing, Wuhan, Suzhou, Xian, Nanjing, Nantong, Changsha, Zhengzhou, Tianjin, Hefei, Qingdao, Dongguan, Ningbo, and Foshan""]"
BV1VCNezSEkh,"[""The initial analysis identifies the geography as a city in a mountain valley with a river."", ""Two key structures are identified: a Drum Tower and a Wind-and-Rain Bridge, both of which are iconic architectural features of the Dong ethnic minority."", ""Two distinctive, tall, golden-colored high-rise buildings seen across the river in the photo.""]","Xinhuang Dong Autonomous County, Hunan Province, China",county,"[""The image is taken in Hunan Province, China.""]"
BV1WA5LzqEne,"[""A prominent, modern white building with a distinctive swooping and curved roof serves as the primary visual landmark."", ""The setting is identified as a wide body of water separating the building from a park with a waterfront promenade on the opposite bank."", ""There are no signs of washing on the shore.""]","28.19, 112.90",latitude & longitude,"[""The image is taken in Hunan Province, China""]"
BV1A5oeYDEjt,"[""A wide, navigable river with cargo barges, rolling hills, and a distant bridge tower."", ""A timestamp of 8:01 PM in late July with remaining daylight suggested the location was in the western part of its time zone"", ""Topography, riverside road, and a visible industrial area with a tall smokestack""]","Yibin City, Sichuan Province, China",city,"[""The image is taken in China.""]"
BV1AK411i7W3,"[""The station's smaller scale suggests it is not one of Chongqing's major hubs, like West or North Station."", ""The main station building features a distinctive \""imitation antique\"" (仿古) architectural style, resembling a traditional Chinese city gate.""]","29.97, 106.28",latitude & longitude,"[""The user's IP geolocation indicates the location is in Chongqing, China.""]"
BV1AK4y1B7Yq,"[""The text description of a large diurnal temperature range (\""warm at noon, cool in the morning and evening\"") suggests a continental climate"", ""The numerous taxis in the photo have a very distinctive two-tone livery: a dark green upper half and a yellowgolden lower half."", ""The long shadows cast by vehicles and structures indicate a North-South road orientation."", ""Several unique architectural landmarks are identified: The road ahead goes uphill to the viaduct, a building with a cylindrical structure on its roof, and a building with a tiered top.""]","39.948, 116.456",latitude & longitude,"[""The image is taken in China.""]"
BV1Aw411q7ja,"[""The scene is identified as a railway crossing under a large, multi-level overpass in a major Chinese city, with a large group on electric scooters waiting for a green train."", ""A yellow sign is visible with the text \""铁路线路 安全保护区\"" (Railway Line Safety Protection Area).""]","31.99, 118.75",latitude & longitude,"[""The image is taken in China.""]"
BV1Bg4y177zj,"[""This is the high-speed railway station. The photo was taken on 20230216, 20:57"", ""There is a glowing building on the left side of the photo, and two curved cables are hanging on the right side of the building, with a straight line below the cables. Such features can be inferred to be a suspension bridge""]","32.41, 119.54",latitude & longitude,"[""The image is taken in China""]"
BV1Bj411x7mn,"[""The environment is distinctly tropical, featuring lush vegetation, palm trees, which helps eliminate countries with temperate climates."", ""The road has a solid yellow centerline"", ""A key architectural clue is a hut with a dark, corrugated metal roof.""]",Thailand,country,"[""The image is taken in one of the following country: A. Brazil B. Bulgaria C. Canada D. Thailand""]"
BV1BroHYCED1,"[""The logo for the China Southern Power Grid on a utility pole narrows the possible location to five specific provinces."", ""The distant Karst topography"", ""A taxi with a distinctive red and silver two-tone livery"", ""a distinctive landmark: a modern building with a curved, blue glass facade.""]","26.31, 105.75",latitude & longitude,"[""The image is taken in Guizhou China.""]"
BV1C14y1k7TL,"[""The highway sign is green, standard for Chinese expressways, and features a visible number '5' inside a shield and a letter 'g' at the end of a word."", ""The surrounding landscape is a flat plain with sparse trees."", ""Distinctive man-made landmarks include a large industrial plant with smokestacks and agricultural greenhouses in the distance."", ""A key and unusual feature is the wide, four-beam W-beam guardrail on the side of the highway."", ""A tall, green noise barrier is visible, suggesting the highway is on an elevated section or bridge.""]","36.81, 118.55",latitude & longitude,"[""The image is taken in China.""]"
BV1CF4m1P7EP,"[""The orientation of solar water heaters on rooftops"", ""Key geographical features include a large lake, a distant hill, and a flat cityscape."", ""The mixture of bare and leafy trees suggests a transitional climate zone between temperate and subtropical regions.""]","Changshu City, Jiangsu Province, China",city,"[""The location is identified as a coastal province in China.""]"
BV1CW4y1P7NN,"[""A very wide river is identified in a green, fertile landscape, leading to an initial focus on major rivers"", ""The terrain is noted as a mostly flat plain with the distinct presence of a few low, rolling hills."", ""A large, modern city with numerous high-rise buildings is observed.""]","Jiangmen City, Guangdong Province, China",city,"[""The image is taken in China.""]"
BV1pJ4m1M77E,"[""There's a logo on the aircraft's wingtip."", ""The scenery is analyzed, noting the flight is over a large body of water with numerous islands, including a key feature of a larger island connected to a smaller one by an isthmus.""]","Hong Kong, China",city,"[""The aircraft is about to land."", ""The image is taken in China.""]"
BV1pn4y1X7Mi,"[""Several buses are parked, each painted in a distinct light bluecyan livery and equipped with a white-cased rooftop air conditioning unit."", ""A tall glass building and a residential building are positioned along a road that runs horizontally across the image."", ""A decorative stone-carved railing is visible."", ""The road is divided by a dark green metal picket fence.""]","35.44, 116.61",latitude & longitude,"[""The image is taken in Shandong Province, China.""]"
BV1q2oHYgEcc,"[""The photograph was taken from a high-rise building, establishing the vantage point."", ""The landscape is a flat plain with a wide river and mountains on the horizon."", ""A unique S-shaped weir is a prominent and identifiable structure in the middle of the river."", ""The bridge has a narrow deck and small piers, spanning across the river without touching down on the opposite bank.""]","Chongzhou City, Sichuan Province, China",city,"[""The image is taken in Sichuan Province, China.""]"
BV1q2oHYgEwp,"[""A commercial street with Western-style architecture is visible."", ""A taxi with a blue upper body, silver lower body, and a white rooftop sign is present."", ""A children's slide is visible in the scene.""]","33.62, 119.11",latitude & longitude,"[""The image is taken in Jiangsu Province.""]"
BV1qx421Q7sy,"[""A school building is visible in the image."", ""A road sign displays directional arrows alongside cardinal direction labels.""]","26.45, 111.59",latitude & longitude,"[""The image is taken in Hunan Province, China.""]"
BV1rM41197d6,"[""A taxi with a distinctive blue and gold color scheme is visible."", ""A partially visible road sign contains the character \""东\"" and the letter \""E\""."", ""A high-speed train is seen crossing in the distance."", ""A tall, slender tower appears on the distant skyline.""]","Huaxing Road, Qiaoxi District, Shijiazhuang City, Hubei Province, China",street,"[""The image is taken in Hubei Province, China.""]"
BV1sZ42187C7,"[""A hotel building is visible, with some signage characters partially missing, including 温 and 9."", ""Railway tracks are present in the foreground."", ""The urban scene features a major overpass spanning an intersection.""]","28.71, 115.93",latitude & longitude,"[""The image is taken in China""]"
BV1sc41197ie,"[""Bare deciduous trees are visible alongside evergreen pine trees."", ""The photo is taken from an elevated position overlooking a large body of water."", ""A long sea-crossing bridge is visible in the distance.""]","Qingdao City, Shandong Province, China",city,"[""The image is taken in China""]"
BV1sp421R7SF,"[""Large willow trees are planted along the roadside as street trees."", ""A partially visible shop sign across the street displays the characters \""王氏香\""."", ""The lampposts have a distinctive design resembling deer antlers.""]","Tonghua County, Tonghua City, Jilin Province, China",county,"[""The image is taken in China""]"
BV1tw411S7fb,"[""The road's centerline is a dashed yellow line with very long dashes and short gaps between them."", ""The landscape features a steep-sided, rocky valley alongside a river."", ""The environment consists of dense coniferous forests and a light dusting of snow.""]",Norway,country,"[""The answer is one of the following four countries: Russia, Norway, Canada, or China.""]"
BV1y94y147RX,"[""The northward-cast shadows indicate the sun is in the southern sky, placing the location in the Northern Hemisphere."", ""A solar panel on a utility pole is oriented to face south, which is the standard practice for maximizing sun exposure in the Northern Hemisphere."", ""The flat prairie landscape, along with a river and a weir (a low dam), is a key feature pointing specifically to the Canadian Prairies.""]",Canada,country,"[""The image is taken in one of the following countries: Canada, US, Brazil, Argentina""]"
BV1yv4y1p7kP,"[""The photo is identified as being taken on a large, cable-stayed bridge with a wide road of 10 or more lanes."", ""In the background, a dense cluster of tall, modern residential buildings is visible."", ""A key clue is identified: a taxi with a distinctive two-tone, green-and-silver paint scheme.""]","Nongye Road Bridge, Zhengzhou, Henan, China",street,"[""The image is taken in China.""]"
BV1z9s5e8Eoz,"[""Analyze primary visual clues: a very long bridge over a wide body of water in a vast, flat plain region."", ""Identify the uniform, modern house architecture as being highly characteristic of the Jiang-Zhe-Hu (Jiangsu-Zhejiang-Shanghai) region. They are all facing the same direction."", ""The riverbank shape and a distinctive spit of land.""]","Hangzhou, Zhejiang, China",city,"[""The image is taken in China""]"
BV1zM411L7wD,"[""A traditional-style Chinese building is visible on one side of the bridge."", ""A mountain can be seen in the distant background, suggesting the location is not a flat city."", ""The bridge is a pedestrian suspension bridge."", ""The main suspension cables have an unusual design, resembling bones or claws and dipping very low."", ""The bridge railings feature a highly distinctive, protruding, V-shaped or chevron-like pattern, which was identified as the most unique clue.""]","Junshan Suspension bridge, Tonglu County, Hangzhou, Zhejiang, China",street,"[""The image is taken in China""]"
BV1zroHYCEF7,"[""The yellow license plate on an electric scooter was identified."", ""Two banners on the commercial building across the street were noted, with the most important one being a red banner for a KFC (肯德基) new store opening or promotion.""]","Qihushangfu, Longshan Town, Cixi City, Ningbo, Zhejiang, China",street,"[""The image is taken in Zhejiang. China.""]"
BV1zroHYCEcH,"[""A vehicle license plate with the letter 'C' as its second character narrows the search to Baoji Prefecture."", ""A distinctive glazed curtain wall building is in the background of the image.""]","Long county, Baoji City, Shaanxi, China",county,"[""The image location is a county-level city in Shaanxi Province, China, situated on a secondary tributary of the Yellow River.""]"
BV1zw411U7TN,"[""Cars are observed driving on the left side of the road, and the vehicle model is right-hand drive."", ""The architecture features two-story, red-brick terraced or semi-detached houses, a style described as iconic and common in the United Kingdom."", ""The overcast grey sky and lush green landscape point to a temperate maritime climate.""]",United Kingdom,country,"[""The image is taken in one of the following countries: : A: New Zealand B: France C: United Kingdom D: Italy""]"
BV1zx421m7R1,"[""The most prominent feature is a large, red, double-decker arched bridge under construction over a river."", ""The presence of banana tree-like plants in the foreground.""]","Qijiang River Bridge, Zhongshan, Guangdong, China.",street,"[""The image is taken in China.""]"
BV1dcd1YNEbn,"[""The landscape's lush, green mountains and valleys were used to narrow the search to Southern China."", ""The primary subject was identified as a modern-looking town with a grid-like street pattern, situated within a basin."", ""A distinct, winding reservoir located immediately next to the town served as a key identifier."", ""A crucial clue was the curved mountain range that separates the foreground town from the distant background."", ""A much larger city was identified in a separate, larger basin on the other side of the mountain range.""]","JianShanZhen, Panan County, Jinhua City, Zhejiang, China",county,"[""The image is taken in China.""]"
BV1dh4y157iW,"[""Identify the most important clue from the photo: the aircraft registration number B-325N visible on the winglet."", ""Note the key visual features of the airport in the photo, specifically the distinct, modern, and curved architecture of the terminal building.""]","Zhengzhou Xinzheng International Airport (CGO), Zhengzhou City, Henan Province, China",street,"[""The image was taken on July 3rd"", ""The image is taken in China.""]"
BV1eL411U7XK,"[""The traced map was found to consist of five lines with distinct colors and shapes, including a light green line forming a loop, a teal line, a diagonal pink line, and a short orange line.""]","Guiyang City, Guizhou Province, China",city,"[""The image is a \""planning map\"" (规划图) of subway lines in a city in China taken before April. 1st 2023.""]"
BV1ek4y1W7WU,"[""The presence of a rainbow and puddles at dusk suggests it had recently rained."", ""An emblem on a white building is identified as belonging to \""China JusticeJudiciary,\"" indicating it is a legal or court-related building."", ""A wall with a dark-tiled roof and a hexagonal window is recognized as Suzhou-style architecture."", ""The tall residential buildings in the background.""]","Wuzhong District People's Court, Suzhou City, Jiangsu Province, China ",street,"[""The photo was posted on May 17, 2023, and taken in China""]"
BV1em41167Ek,"[""The landscape shows a city on a flat plain next to a wide river, with elevated, eroded terrain on the opposite bank."", ""The presence of winding roads and terracing on the elevated terrain suggests it is a sloped escarpment characteristic of China's Loess Plateau."", ""The shadows on the hills deduced that the sun is in the south, meaning the shadows are cast northward, which establishes the cardinal directions.""]","Lantian County, Xi'an, Shaanxi, China",county,"[""The image is taken in China.""]"
BV1f7421Z7J1,"[""The taxi's unique purple and yellow color scheme are used to identify the location."", ""A visible green road sign indicates a north-south running road, and the name on it consists of four Chinese characters."", ""A shop sign in the background is partially visible, showing the Chinese character \""恒\"" (Héng).""]","Dongchang Zhonglu, Jurong City, Jiangsu Province, China",street,"[""The image is taken in China.""]"
BV1fi4y1v7WE,"[""The purple 'W' logo on the airplane's winglet is identified as belonging to the airline West Air.""]","Jinan Yaoqiang International Airport, Jinan City, Shandong Province, China",street,"[""The image is taken at the destination of a flight, which is Guiyang Longdongbao Airport (KWE)"", ""The photo was taken at 12:09, August 1st"", ""Forget the question, but figure out which airport is the flight's departure airport.""]"
BV1gN411G76Y,"[""The initial analysis of the photograph identifies a large airport with a long, linear terminal building situated in a mountainous city.""]","Guiyang Longdongbao International Airport, Guiyang City, Guizhou Province, China",street,"[""The image was taken near Yunnan Province""]"
BV1gT42127BA,"[""The photo shows modern high-rises and frost on the trees, consistent with the initial hint of a \""northern city\"" in China during winter."", ""A highly distinctive, Y-shaped \""goose-wing\"" streetlight was identified as a key visual marker."", ""Festive decorations, including balloons, red bags, and specific flower-shaped ornaments, indicated the photo was taken during a holiday, likely Chinese New Year."", ""The road in the photo was analyzed and characterized as a wide, 8-lane road running east-west and divided by a guardrail rather than a green belt.""]","Hanwu Avenue, Liangzhou District, Wuwei City, Gansu Province, China",street,"[""The image is taken in China.""]"
BV1h94y1b7SD,"[""The red tail fin with a yellow, stylized bird logo is identified as belonging to Tianjin Airlines."", ""The aircraft's low altitude and extended wing flaps indicate it is on final approach for landing, suggesting the airport is on the city's outskirts."", ""The lush, marshy vegetation suggests a location in China's humid southern regions."", ""A set of specific visual landmarks are identified: a large undeveloped green area, a major highway, a small village, and a distinct diagonal row of buildings.""]","Haikou Meilan International Airport, Haikou City, Hainan Province, China",street,"[""The image is taken in China""]"
BV1cD4y187NX,"[""The presence of a sunset establishes that the road runs east-west and the photo is taken looking west."", ""A bus stop sign is identified, showing the specific route numbers 26 and 56."", ""The shop sign neon light is on, indicating sunset not sunrise.""]","(40.6967, 109.8667)",latitude & longitude,"[""The image is taken in China.""]"
BV1DU4y1v7bs,"[""A large banyan tree is uniquely trimmed into a helmet shape, forming an archway over the road."", ""A sign on a building reads \""一铭五金\"" (Yiming Hardware)."", ""A car under the tree has a white license plate.""]","Zhanghua County, Taiwan, China",street,"[""The image is taken in China.""]"
BV1CW4y1B7S8,"[""A distinctive blue and yellow taxi is identified in the image."", ""The unique design of the street's median guardrail, featuring decorative patterns, is special."", ""The balcony decoration looks antique, similar to a coffee shop or western restaurant. The cross-street shop sign is blocked, but similar to chinese characters:正新鸡排.""]","Zhonghua Road, Guiyang City, Guizhou Province, China",street,"[""The image is taken in China.""]"
BV1uG41157wp,"[""The station entrance has a distinct purple color scheme with signs indicating it is Line 5 (\""5号线\"") and Entrance A (\""A入口\"")."", ""The background buildings have a light-colored brick building and a multi-story residential building.""]","Fujin Subway Station, Chengdu City, Sichuan Province, China",street,"[""The image is taken in China.""]"
BV14D4y1B7KZ,"[""The photo was taken from an above-ground metro station featuring an older architectural style with mosaic-tiled walls, visible in a reflection."", ""The primary clue is a reflected, reversed sign on a building across the tracks. The Chinese characters on the sign are deciphered to form the restaurant name \""西堤厚牛排\"" (Xi Di Hou Steak).""]","Qingyun Road, Shanghai City, China",street,"[""The image is taken in China.""]"
BV1Sd4y1P7wr,"[""The river's relatively narrow width suggests the location is in an upstream section."", ""The river looks bit muddy, suggesting its a high-water period."", ""A large, distinctive white building is visible on the opposite bank. The photo is taken from a paved road that curves alongside the river. The tip of an islet is visible in the water near the shore.""]","Binjiang Road, Jiangan County, Yibin City, Sichuan Province, China",street,"[""This is an image of Yangtze River.""]"
BV1pP4y1o7oK,"[""A storefront sign with Chinese characters visible. The characters on the sign were identified as likely being \""川味面馆\"" (Chuan Wei Noodle House).""]","Heping Road, Binhai New Area, Tianjin, China",street,"[""This was a shopping street. The date format is mm/dd/yyyy""]"
BV11G411E7zv,"[""The the character \""大\"" (big), means this is a major airport in China."", ""A key geographic clue is the airport's location directly beside a large body of water, likely the sea or a wide estuary."", ""A straight and wide road, identified as a major coastal highway or bridge, is visible running right along the edge of the water."", ""A long, rectangular building, visible through the clouds, might be a specific cargo center at the airport.""]","Shenzhen, Guangzhou, China",city,"[""The image is taken in China.""]"
BV13t4y1A73u,"[""An elevated train in the background is identified as the most significant visual clue for determining the city."", ""The distinct curve of the elevated train track is noted as a key feature for pinpointing the exact location.""]","Wenzhou Main Road, Lucheng District, Wenzhou City, Zhejiang Province, China",street,"[""The image is taken in China.""]"
BV1WT411L7Wz,"[""The foreground features a building next to a body of water, with a dock and a ferry."", ""A distinct red, nautical-themed logo on the building's roof is the most critical visual clue for identification."", ""The angle of the plane in the photo helps deduce that the photographer was likely on another boat on the River.""]","Fuxing East Road Ferry Terminal, Huangpu District, Shanghai, China",street,"[""The image is taken in China.""]"
BV1ca41157kq,"[""A communications tower with a distinct shape is visible."", ""The tower is located on a lush, green hill. The presence of streetlights suggests the area is a scenic spot or a forest park.""]","Changsha TV Tower, Changsha, Hunan, China",street,"[""The image is taken in China.""]"
BV1VV4y1474q,"[""Text on a vertical red sign, specifically the characters 绵州 (Miánzhōu), is identified."", ""Text on a horizontal sign, including the English word **\""PATIENT\""** and the Chinese characters 门诊 (ménzhěn)."", ""The narrowness of the street and lack of a large open area in front of the building.""]","Huayuan North Road, Peicheng District, Mianyang City, Sichuan Province, China",street,"[""The image is taken in China.""]"
BV1cd4y1T7db,"[""The sight of a shirtless man on the platform late at night."", ""The few lights on in distant buildings indicate a late hour"", "" A faint poster on the station's glass railing was assumed to feature a local landmark."", "" The station is identified as an elevated structure (not underground) situated next to a large, open, and dark area.""]","Shizhou Subway station, Foshan City, Guangdong, China",street,"[""This is picture taken near a subway station. The photo was taken and posted around 11 PM on August 1st, 2022. The image is taken in China.""]"
BV1MY4y1c7SU,"[""The overall environment, including a wide street, multi-story residential buildings, bare trees, and a modern skyscraper in the distance, indicated a moderately-sized Chinese city in winter."", ""A partial phone number on the trash bin showing the digits \""16\"" followed by a hyphen."", ""Vertically written characters \""津达\"" (Jīndá) and a corresponding blue wave logo on the bin."", ""The specific layout of the wide road leading to an intersection with a traffic light was used as a final visual guide to find the exact street.""]","Xinghan Road, Haizhong City, Shaanxi, China",street,"[""The image is taken in China.""]"
BV1iK411f7d7_1,"[""the shop name \""你来啊\"" is a clear indicator""]","Yanhuang Avenue, Lianshui County, Huai'an, Jiangsu, China",street,"[""The image is taken in China.""]"
BV1iK411f7d7_2,"[""Identified the building as a low, single-story structure. A dense row of trees located directly behind the building."", ""Observed the messy overhead power lines above the shop. Deduced a rural or remote setting from the open sky and lack of large buildings or mountains in the background.""]","Horse Range, Tekesi County, Ili Kazakh Autonomous Prefecture, Xinjiang, China",street,"[""The image is taken in China.""]"
BV1cU4y1k7wy,"[""The date and time (2021.11.7 17:44) were identified from the timestamp, and the raindrops on the window confirmed the weather condition."", ""The partially visible store sign with letters \""FUX\\*NG\"" was deciphered and identified as a \""Fuxiang\"" (福湘).""]","North side of Traditional Chinese Medicine Hospital, Shixing County, Shaoguan City, Guangdong Province, China",street,"[""The image is taken in China.""]"
BV1KT411A7tU,"[""The presence of a blue \""China Mobile\"" (中国移动) store and an adjacent red \""Juewei Duck Neck\"" (绝味鸭脖) shop at an intersection."", ""The prominent tree in the foreground was identified as a Candlenut tree (石栗)."", ""The specific blue and white livery of the taxi was used to narrow the city.""]","China Mobile Yulin Bus Terminal Service Hall, Yulin City, Guangxi, China",street,"[""The image is taken in China.""]"
BV1YG4y187F8,"[""Identify the distinctive Hui-style architecture, characterized by its \""horse-head walls\"" on whitewashed buildings."", ""Locate a prominent modern building in the distance, noted for its blue glass facade and a rooftop sign with green text."", ""Observe a bus with a unique, solid bright green color scheme.""]","Jixi County, Anhui Province, China",county,"[""The image is taken in China.""]"
BV1PW4y1e7Rm,"[""The primary clue is a sign on a parking attendant booth that reads \""中国有色 P\"".""]","China Nonferrous Metals Building, Futian District, Shenzhen City, Guangdong, China",street,"[""The image is taken in China.""]"
BV1xG411b7fz,"[""A large number of SF Express (顺丰快递) delivery vehicles, including vans and a fleet of tricycles, are identified in the parking lot."", ""The street is a moderately wide, four-lane road, not a major highway."", ""The presence of overhead power lines indicates the street is a route for trolleybuses.""]","Xisi North Avenue, Xicheng District, Beijing, China",street,"[""The image is taken in Beijing Historic district. i.e.  Dongcheng District, Xicheng District, Xuanwu District, Chongwen District. ""]"
BV19V4y1H78B,"[""The distinctive buildings feature dome-like roofs, indicating a European or Russian architectural style."", ""A sign on a utility pole is partially visible, showing the Chinese character **市 (shì)** and the Pinyin **\""HI CI-\""**."", ""The sign's design is identified as a bus stop sign."", ""A multi-level elevated highway is a major landmark used to visually confirm the final location.""]","Dafa Market, Harbin City, Heilongjiang Province, China",street,"[""The image is taken in China.""]"
BV11g41127m4,"[""The photograph is taken from a complex, multi-level highway interchange."", ""The most distinctive feature is the underside of the upper overpass, which is painted with a unique blue and white pattern resembling a sky with clouds.""]"," Gulou Interchange, Hohhot City, Inner Mongolia, China",street,"[""The image is taken in China.""]"
BV1J64y1P7YV,"[""A sunset over a wide body of water, mountains, and a distinct multi-story building on a V-shaped peninsula.""]","Taoyuan town, Yongsheng County, Lijiang City, Yunnan Province, China",town,"[""The image is taken in China"", ""the image was taken at 18:54 on November 13, 2023.""]"
BV1Jm42137gf,"[""A distant square-shaped structure is visible on the ridgeline."", ""The wall includes visible defensive architectural elements such as battlements.""]","40.36, 116.02",latitude & longitude,"[""The image was taken on the Great Wall in Beijing, China in 1992.""]"
BV1Np4y1u7Ms,"[""There's a blue running track in the image."", ""a large construction site, a very wide river crossed by a long bridge, and mountains in the background.""]","28.01, 120.77",latitude & longitude,"[""The image is taken in Zhejiang Province, China.""]"
BV1PE42157jE,"[""The image contains wind turbines, a tidal flat, and dolosse (concrete breakwater blocks)."", ""The photo is taken from an elevated position with a simple metal pipe railing in the foreground.""]","30.85, 121.93",latitude & longitude,"[""The image is taken in China.""]"
BV1SS411N7St,"[""The long shadow of a pole is visible."", ""a large green field and several distinct buildings, such as the blue house.""]","15.2903, 120.5678",latitude & longitude,"[""The image is taken in Philippines: Manila, Mabalacat, Las Piñas, Clark Freeport Zone, Cagayan, and Cavite."", ""The image was taken on February 10, 2024.""]"
BV1TE421w7fa,"[""a prominent metallic sculpture"", ""a tall, distinctive building in the background.""]","25.03, 102.72",latitude & longitude,"[""The image was taken in 1995-1998 in Kunming, Yunnan.""]"
BV1UC4y197sq,"[""The landscape features a mountain range with numerous wind turbines and terraced farming""]","35.4663,111.4560",latitude & longitude,"[""The image is taken in Hengshui town, Yuncheng city, Shanxi, China.""]"
BV1WJ4m1s7TG,"["" The photo shows a curved railway track on a bridge with an adjacent wooden walkway. The track crosses a river and leads into a dense, hillside residential area."",""A second, parallel railway bridge is visible in the background, across the same river."",""A third, higher bridge crosses over the railway tracks in the distance."",""A building with red crosses, identified as a potential hospital, is visible on a hill in the far background.""]","28.9432,106.7144",latitude & longitude,"[""The image might be taken in Chongqing, China""]"
BV1Y2421K7t9,"[""Melting snow, a bamboo hedge, and northern-style residential buildings, are combined to narrow the search to a temperate region in central or northern China."",""The skey is mostly clear with some faint ribbon-like clouds"",""air conditioner installation density is analyzed as medium to low""]","36.6593,117.0456",latitude & longitude,"[""The image is taken in China""]"
BV1dG411k7wu,"[""The license plate on a parked van, with its black background, white text, and month/year expiration date"",""The 'DK' prefix on the license plates of two different vehicles is the regional code"",""Red-and-white banners seen in the background"",""A prominent blue banner with the PADI logo"",""Long shadows indicate the sun is low"",""The road is a two-lane street that curves to the right (north) in the distance.""]","Sanctum Exploration, Jl. Danau Poso No.39, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",street,"[""The image is taken on the way to school.""]"
BV1194y137GY,"[""The number \""55688\"" is visible on the taxis rooftop sign."", ""Tall, slender areca palms are present in the landscape."", ""An elevated road is visible, featuring a guardrail with a concrete base and a single round metal tube on top.""]","National Freeway 6, Caotun Township, Nantou County, Taiwan",street,"[""The image is taken in China.""]"
BV1284y127WT,"[""The image shows a sunset over a large body of water."", ""Numerous thin, vertical silhouettes resembling boat masts are densely packed in the scene.""]","41.2167, 1.7401",latitude & longitude,"[""The image is taken in Spain.""]"
BV12Q4y1L76K,"[""The bridge features diagonal cables and an overhead deck.""]","55.5753, 12.8264",latitude & longitude,[]
BV15zyUY2EKs,"[""The buildings feature architectural elements resembling Russian or Soviet-style design.""]","Bayantuohai Middle Road, Hailar District, Hulunbuir City, Inner Mongolia Autonomous Region, China",street,"[""The image was taken in China"", ""the time of capture was around 2 p.m. on December 8, 2022.""]"
BV172421A7MU,"[""The second character on the white vans license plate is the letter C."", ""The image shows a very wide, multi-lane avenue with a green median strip and an overpass.""]","Yangquan Avenue, Yangquan City, Shanxi Province, China",street,"[""The image is taken in Shanxi Province, China.""]"
